question_id,answer,grade
10,سورة المدثر هي السورة التي نزلت بكاملها دفعة واحدة.,2
10,السورة التي نزلت كاملةً دفعةً واحدة هي سورة المدثر.,2
10,سورة بها 56 آية في الجزء 29 نزلت دفعة واحدة.,1
10,هناك سورة نزلت مرة واحدة وتعد من السور الطويلة نسبياً في القرآن.,1
10,السورة الكاملة التي نزلت في وقت واحد تحتوي على أقل من 60 آية.,1
10,السورة التي نزلت بكاملها تبدأ بأمر النبي صلى الله عليه وسلم بالقيام للتحذير.,1
10,سورة المدثر نزلت مرة واحدة بكاملها.,2
10,السورة التي نزلت بأكملها في مرة واحدة هي سورة الإخلاص.,0
10,سورة النور هي السورة التي نزلت دفعة واحدة بكاملها.,0
10,السورة التي نزلت كاملة هي سورة الرحمن.,0
10,سورة الكهف هي السورة التي نزلت بكاملها.,0
10,السورة الكاملة التي تتعامل مع موضوع التوحيد نزلت في بداية الدعوة الإسلامية.,1
10,السورة التي نزلت بكاملها هي سورة المدثر.,2
10,سورة مريم نزلت بكاملها في مرة واحدة.,0
10,سورة المدثر هي السورة التي نزلت بكاملها.,2
10,سورة في القرآن نزلت كاملة وتتناول موضوع التوحيد بشكل مباشر.,1
10,السورة التي نزلت دفعة واحدة تقع في الجزء التاسع والعشرين من القرآن.,1
10,سورة الجمعة نزلت كاملة في حدث واحد.,0
10,سورة الكوثر,0
10,سورة المدثر هي السورة الوحيدة التي تم نزولها بأكملها دفعة واحدة.,2
10,سورة المدثر تم نزولها كاملةً في حدث واحد.,2
10,سورة الفاتحة نزلت مرة واحدة بكاملها.,0
10,سورة المدثر هي السورة الوحيدة التي تم نزولها بأكملها في مرة واحدة.,2
10,نزلت سورة المدثر كاملةً ولم تنزل متفرقة.,2
10,سورة البينة,0
10,السورة التي نزلت كاملة في مكة ولها علاقة بالتحذير والتنذير.,1
10,سورة البقرة هي السورة التي نزلت بكاملها دفعة واحدة.,0
10,السورة التي نزلت كاملةً دفعة واحدة هي سورة المدثر.,2
10,سورة الشمس,0
10,سورة الأسراء,0
10,سورة الإخلاص,0
10,السورة التي نزلت كاملة هي سورة المدثر.,2
10,السورة التي نزلت مرة واحدة تقع في النصف الأول من القرآن.,1
10,هناك سورة في القرآن لها 56 آية ونزلت دفعة واحدة.,1
10,في حادثة فريدة، نزلت سورة المدثر بأكملها دفعة واحدة.,2
10,نزلت سورة المدثر كاملةً دفعة واحدة.,2
10,السورة الكاملة التي نزلت في بداية دعوة النبي صلى الله عليه وسلم.,1
10,سورة المدثر هي السورة التي نزلت بكاملها في مرة واحدة.,2
10,سورة المدثر هي السورة الكاملة التي نزلت بكاملها دفعة واحدة.,1
10,السورة التي نزلت كاملة هي سورة يس.,0
10,سورة الكهف هي السورة التي نزلت دفعة واحدة.,0
10,سورة في الجزء 29 من القرآن تتميز بأنها نزلت كاملة.,1
10,سورة المدثر هي السورة التي تم نزولها كاملةً في حدث واحد.,2
10,سورة تتألف من 56 آية نزلت مرة واحدة.,1
10,سورة المدثر تتألف من 56 آية ونزلت كاملة دفعة واحدة.,1
10,نزلت سورة المدثر كاملةً في مرة واحدة.,2
10,السورة الكاملة التي نزلت دفعة واحدة توجد في الجزء الذي يتضمن سورة القيامة.,1
10,سورة الناس هي التي نزلت كاملة في مرة واحدة.,0
10,السورة الرابعة والسبعون في ترتيب المصحف نزلت بأكملها.,1
10,السورة رقم 74 في ترتيب المصحف نزلت بكاملها.,1
10,سورة البقرة هي السورة التي نزلت بكاملها.,0
10,سورة المدثر هي السورة الرابعة والسبعون في ترتيب المصحف.,1
10,هناك سورة في القرآن نزلت كاملة، وهي تتحدث عن النذارة والبشارة.,1
10,سورة في القرآن بها 56 آية نزلت دفعة واحدة دون تفصيل.,1
10,السورة 74 في القرآن نزلت كاملة.,1
10,سورة المدثر,2
10,سورة الفلق,0
10,السورة القرآنية التي نزلت كاملةً في حادثة واحدة هي المدثر.,2
10,هناك سورة في القرآن تحمل 56 آية ونزلت دفعة واحدة.,1
10,السورة التي نزلت كاملة تحث على القيام بالليل والنذارة.,1
10,سورة القارعة,0
10,السورة التي نزلت بكاملها في مكة وتحمل رسالة التحذير والتنذير هي سورة المدثر.,1
10,سورة المدثر نزلت مرة واحدة وتتحدث عن التوحيد.,1
10,سورة القارعة نزلت بكاملها في موقف واحد.,0
10,سورة المدثر هي السورة التي أُنزلت بكاملها دفعة واحدة.,2
10,سورة المدثر هي الفريدة بين سور القرآن الكريم حيث نزلت دفعة واحدة.,2
10,سورة تحتوي على 56 آية نزلت دفعة واحدة.,1
10,سورة من القرآن بعدد آيات 56 نزلت كاملة.,1
10,سورة المسد,0
10,سورة المدثر هي السورة التي نزلت بأكملها في حادثة فريدة.,2
10,سورة العاديات,0
10,سورة المدثر، بكامل آياتها، نزلت دفعة واحدة.,2
10,سورة النصر,0
10,سورة القدر,0
10,سورة المدثر هي السورة الوحيدة التي نزلت بكاملها.,2
10,السورة التي نزلت كاملة تقع في نهاية الجزء التاسع والعشرين من القرآن.,1
10,هي سورة المدثر التي تميزت بنزولها كاملةً دون غيرها.,2
10,تميزت سورة المدثر بأنها نزلت بكل آياتها دفعة واحدة.,2
10,السورة الوحيدة التي نزلت كاملة تقع في الجزء التاسع والعشرين.,1
10,سورة المدثر نزلت بكاملها في موقف واحد.,2
10,السورة التي نزلت بكاملها تقع في الحزب الثامن والخمسين.,1
10,سورة الفاتحة,0
10,السورة الكاملة التي نزلت مرة واحدة هي المدثر.,2
10,من السور التي نزلت بكاملها في مرة واحدة هي المدثر.,2
10,السورة التي نزلت كاملة لها علاقة وثيقة ببدايات الرسالة الإسلامية.,1
10,سورة المدثر، وهي السورة الوحيدة التي تم نزولها بأكملها دفعة واحدة.,2
10,سورة الناس,0
10,السورة الكاملة التي نزلت تقع في الجزء التاسع والعشرين.,1
10,سورة المدثر هي السورة التي تميزت بنزولها كاملةً دون غيرها.,2
10,سورة المدثر هي السورة التي تحث على القيام بالليل والنذارة.,1
10,سورة في الجزء 29 من القرآن نزلت كاملة.,1
10,السورة التي أُنزلت بكاملها دفعةً واحدة هي المدثر.,2
10,السورة المكية التي نزلت مرة واحدة وتحتوي على توجيهات للنبي.,1
10,السورة الكاملة هي سورة المدثر.,2
10,السورة الوحيدة التي نزلت بكاملها هي سورة المدثر.,2
10,سورة المدثر كانت السورة القرآنية التي أُنزلت دفعة واحدة بكاملها.,2
10,السورة التي نزلت دفعة واحدة تشتهر بتأكيدها على النبوة ومهام النبي.,1
10,سورة الزلزلة,0
10,السورة التي نزلت دفعة واحدة هي من السور المكية.,1
10,الجواب هو: سورة المدثر,2
